ofc;order;reg.nr;reg.lag;PI30;PI60;PI90;A30;A60;A90
SS;1, 1, 8;2;5;0.11;0.13;0.2;0.56;0.4;0.33
SS;2, 1, 8;2;5;0.085;0.17;0.32;0.53;0.35;0.32
SS;0, 1, 5;2;5;0.075;0.12;0.14;0.56;0.37;0.28
SS;1, 1, 4;2;5;0.068;0.12;0.13;0.54;0.33;0.26
SS;1, 1, 2;2;5;0.066;0.1;0.063;0.59;0.41;0.36
SS;0, 1, 2;2;5;0.064;0.11;0.13;0.57;0.4;0.31
SS;0, 1, 3;4;5;0.064;0.088;0.15;0.6;0.42;0.3
SS;1, 1, 3;4;5;0.06;0.047;0.13;0.58;0.42;0.31
SS;0, 1, 6;4;5;0.059;0.015;0.11;0.55;0.38;0.3
SS;1, 1, 3;2;5;0.059;0.11;0.11;0.55;0.37;0.28
