ofc;order;reg.nr;reg.lag;PI30;PI60;PI90;A30;A60;A90
SS;5, 0, 5;2;15;-10000;-7600;-5400;0.57;0.73;0.69
SS;7, 0, 6;8;15;-280;-700;-890;0.73;0.73;0.51
SS;2, 0, 6;4;10;-6300;-2600;-1500;0.76;0.72;0.55
SS;4, 0, 3;10;15;-35000;-15000;-9000;0.56;0.71;0.7
SS;1, 0, 6;2;15;-8.9;-180;-240;0.026;0.71;0.49
SS;3, 0, 8;6;15;-5600;-11000;-8400;0.71;0.64;0.52
SS;6, 0, 2;6;5;-140;-130;-98;0.76;0.63;0.45
SS;2, 0, 2;10;15;-590;-490;-390;0.78;0.61;0.39
SS;7, 0, 1;8;5;-1400;-970;-720;0.54;0.6;0.29
SS;6, 0, 7;6;15;-120;-180;-260;0.008;0.59;0.66
