ofc;order;reg.nr;reg.lag;PI30;PI60;PI90;A30;A60;A90
SS;2, 0, 6;4;10;-6300;-2600;-1500;0.76;0.72;0.55
SS;5, 0, 5;2;15;-10000;-7600;-5400;0.57;0.73;0.69
SS;4, 0, 3;10;15;-35000;-15000;-9000;0.56;0.71;0.7
SS;7, 0, 6;8;15;-280;-700;-890;0.73;0.73;0.51
SS;3, 0, 8;6;15;-5600;-11000;-8400;0.71;0.64;0.52
SS;6, 0, 2;6;5;-140;-130;-98;0.76;0.63;0.45
SS;2, 0, 2;10;15;-590;-490;-390;0.78;0.61;0.39
SS;4, 0, 8;8;15;-37;-31;-37;0.72;0.48;0.39
SS;5, 0, 8;8;5;-310;-350;-230;0.66;0.56;0.37
SS;6, 0, 7;6;5;-0.13;0.15;0.21;0.65;0.5;0.41
