ofc;order;reg.nr;reg.lag;PI30;PI60;PI90;A30;A60;A90
SS;3, 1, 8;6;10;-0.71;-0.16;-0.049;0.88;0.58;0.36
SS;4, 0, 8;10;5;-12;-29;-33;0.88;0;0
SS;8, 1, 7;4;10;-1.6;-0.39;-1.3;0.88;0.56;0.36
SS;6, 1, 8;4;15;-1.2;-0.27;-0.14;0.88;0.48;0.35
MS;5, 1, 1;6;5;-6.1;-2.2;-0.63;0.88;0.62;0.52
SS;5, 1, 5;4;15;-0.84;-3.4;-2.6;0.86;0.5;0.3
MS;7, 1, 1;NA;NA;-0.93;-0.55;-0.21;0.86;0.53;0.34
MS;2, 0, 5;8;5;-4.2;-1.8;-1.4;0.86;0.72;0.47
SS;4, 1, 4;4;10;0.0076;-0.62;-0.46;0.84;0.5;0.33
MS;3, 1, 7;8;5;-1.2;0.047;0.33;0.84;0.56;0.5
