ofc;order;reg.nr;reg.lag;PI30;PI60;PI90;A30;A60;A90
SS;8, 0, 6;4;10;-45;-76;-94;0.82;0.74;0.57
MS;2, 0, 5;8;5;-4.2;-1.8;-1.4;0.86;0.72;0.47
SS;2, 0, 4;8;15;-670;-570;-420;0.25;0.89;0.89
MS;5, 1, 1;6;5;-6.1;-2.2;-0.63;0.88;0.62;0.52
SS;5, 0, 8;6;10;-12000;-4200;-2500;0.78;0.68;0.54
MS;5, 0, 7;6;5;-0.89;0.18;0.4;0.83;0.68;0.41
MS;1, 0, 8;2;5;-0.82;0.23;0.43;0.82;0.64;0.45
SS;4, 0, 8;8;5;-4.2;-2.4;-2.3;0.82;0.6;0.49
SS;2, 0, 6;4;5;-1.8;-1.2;-1.2;0.8;0.6;0.51
MS;3, 1, 7;8;5;-1.2;0.047;0.33;0.84;0.56;0.5
