ofc;order;reg.nr;reg.lag;PI30;PI60;PI90;A30;A60;A90
SS;0, 1, 7;8;5;0.34;0.48;0.4;0.67;0.42;0.31
SS;1, 1, 8;2;15;0.34;0.45;0.37;0.62;0.43;0.22
SS;0, 1, 8;4;5;0.3;0.42;0.44;0.77;0.5;0.32
SS;1, 1, 6;10;5;0.32;0.4;0.41;0.69;0.35;0.35
MS;0, 1, 8;2;10;0.076;0.49;0.53;0.71;0.49;0.38
SS;0, 1, 7;4;15;0.33;0.43;0.35;0.6;0.35;0.2
SS;1, 1, 6;2;5;0.36;0.39;0.35;0.63;0.38;0.24
SS;1, 1, 7;2;5;0.37;0.41;0.32;0.58;0.37;0.2
MS;1, 1, 8;6;5;0.032;0.52;0.54;0.67;0.49;0.32
SS;0, 1, 5;8;5;0.37;0.38;0.35;0.71;0.4;0.26
