ofc;order;reg.nr;reg.lag;PI30;PI60;PI90;A30;A60;A90
single-step;4, 0, 3;10;15;-35000;-15000;-9000;0.56;0.71;0.7
single-step;5, 0, 5;2;15;-10000;-7600;-5400;0.57;0.73;0.69
single-step;6, 0, 7;6;15;-120;-180;-260;0.008;0.59;0.66
single-step;2, 0, 6;4;10;-6300;-2600;-1500;0.76;0.72;0.55
single-step;6, 0, 1;8;5;-1.7;-1.4;-1.3;0.49;0.53;0.53
single-step;3, 0, 8;6;15;-5600;-11000;-8400;0.71;0.64;0.52
multi-step;7, 0, 3;8;5;-9.1;-3.5;-1.4;0.12;0.25;0.52
single-step;7, 0, 6;8;15;-280;-700;-890;0.73;0.73;0.51
multi-step;8, 0, 6;6;10;-33;-20;-11;0.12;0.26;0.51
single-step;1, 0, 6;2;15;-8.9;-180;-240;0.026;0.71;0.49
