ofc;order;reg.nr;reg.lag;PI30;PI60;PI90;A30;A60;A90
multi-step;3, 1, 6;2;5;-0.15;0.19;0.41;0.41;0.32;0.28
multi-step;2, 1, 5;2;5;-0.17;0.2;0.4;0.47;0.36;0.26
multi-step;1, 1, 5;2;5;-0.1;0.22;0.4;0.45;0.32;0.27
single-step;7, 0, 8;4;5;-0.17;0.22;0.38;0.5;0.44;0.38
multi-step;1, 1, 8;8;5;-0.29;0.16;0.38;0.47;0.34;0.26
multi-step;3, 0, 5;4;5;0.013;0.27;0.37;0.52;0.42;0.33
multi-step;1, 1, 7;2;5;-0.32;0.16;0.37;0.36;0.3;0.24
multi-step;1, 1, 7;10;5;-0.32;0.15;0.37;0.46;0.35;0.3
multi-step;1, 1, 6;2;5;-0.35;0.15;0.36;0.37;0.31;0.24
multi-step;0, 1, 6;2;5;-0.089;0.18;0.35;0.43;0.28;0.27
