ofc;order;reg.nr;reg.lag;PI30;PI60;PI90;A30;A60;A90
single-step;3, 0, 5;8;5;-230;-240;-230;0;0.82;0.93
single-step;2, 0, 4;8;15;-670;-570;-420;0.25;0.89;0.89
single-step;1, 0, 4;10;5;-1400;-1000;-860;0.059;0.64;0.79
single-step;5, 0, 5;4;10;-190;-210;-230;0.031;0.55;0.79
single-step;2, 0, 6;NA;NA;-440;-560;-790;0.038;0.58;0.65
single-step;7, 0, 3;8;5;-940;-1400;-950;0.024;0.4;0.6
multi-step;7, 0, 5;6;5;-4.6;-1.4;-0.59;0.68;0.62;0.58
single-step;8, 0, 6;4;10;-45;-76;-94;0.82;0.74;0.57
single-step;5, 0, 8;6;10;-12000;-4200;-2500;0.78;0.68;0.54
multi-step;5, 1, 1;6;5;-6.1;-2.2;-0.63;0.88;0.62;0.52
