ofc;order;reg.nr;reg.lag;PI30;PI60;PI90;A30;A60;A90
multi-step;2, 1, 8;4;5;-0.097;0.39;0.57;0.73;0.47;0.42
multi-step;1, 1, 8;8;5;-0.25;0.32;0.56;0.66;0.41;0.39
multi-step;0, 1, 8;6;5;-0.017;0.47;0.54;0.78;0.62;0.38
multi-step;1, 1, 8;6;5;0.032;0.52;0.54;0.67;0.49;0.32
multi-step;0, 1, 8;2;10;0.076;0.49;0.53;0.71;0.49;0.38
multi-step;0, 1, 7;8;5;-0.12;0.45;0.53;0.73;0.42;0.37
multi-step;4, 1, 6;10;5;0.035;0.39;0.52;0.69;0.38;0.37
multi-step;1, 1, 6;10;5;-0.44;0.3;0.52;0.53;0.32;0.32
multi-step;2, 1, 8;NA;NA;0.043;0.45;0.51;0.8;0.44;0.33
multi-step;1, 1, 7;4;10;-0.2;0.37;0.51;0.66;0.4;0.37
