From	To
2017-08-16 10:00:00	2017-08-16 12:20:00
2017-08-24 16:40:00	2017-08-24 18:40:00
2017-09-07 23:50:00	2017-09-08 08:10:00
2017-09-10 02:20:00	2017-09-10 10:30:00
2017-09-15 13:40:00	2017-09-15 17:10:00
2017-09-17 06:40:00	2017-09-17 07:40:00
2017-09-20 07:00:00	2017-09-20 07:50:00
2017-09-20 11:20:00	2017-09-20 18:00:00
2017-09-28 14:10:00	2017-09-28 17:00:00
2017-09-28 17:30:00	2017-09-28 18:10:00
2017-09-28 19:00:00	2017-09-28 20:40:00
2017-09-29 23:00:00	2017-09-30 02:10:00
2017-09-30 23:10:00	2017-10-01 00:40:00
2017-10-24 00:40:00	2017-10-24 01:40:00
2017-11-14 04:10:00	2017-11-14 04:50:00
2017-11-14 11:40:00	2017-11-14 12:20:00
2017-11-15 12:20:00	2017-11-15 13:40:00
2017-12-11 16:00:00	2017-12-15 16:30:00
2017-12-19 10:50:00	2017-12-19 17:10:00
2017-12-19 19:00:00	2017-12-20 03:00:00
2017-12-29 13:10:00	2017-12-29 14:30:00
2018-01-02 09:10:00	2018-01-02 12:00:00
2018-01-02 15:20:00	2018-01-02 16:30:00
2018-01-23 13:20:00	2018-01-23 14:00:00
2018-01-29 03:10:00	2018-01-29 10:50:00
2018-01-30 15:50:00	2018-01-30 18:00:00
2018-01-31 13:20:00	2018-01-31 14:00:00
2018-02-01 17:40:00	2018-02-01 19:50:00
2018-02-01 22:40:00	2018-02-02 02:20:00
2018-03-11 16:00:00	2018-03-12 09:00:00
2018-03-21 04:20:00	2018-03-21 05:20:00
2018-03-22 14:10:00	2018-03-22 15:20:00
2018-03-29 18:10:00	2018-03-29 19:20:00
2018-03-31 20:50:00	2018-03-31 21:30:00
2018-04-01 00:20:00	2018-04-01 01:00:00
2018-04-02 15:40:00	2018-04-02 16:20:00
2018-04-03 06:00:00	2018-04-03 09:20:00
2018-04-04 07:20:00	2018-04-04 08:10:00
2018-04-04 08:50:00	2018-04-04 10:40:00
2018-04-04 13:00:00	2018-04-04 13:40:00
2018-04-04 15:00:00	2018-04-04 16:10:00
2018-04-04 20:10:00	2018-04-04 21:30:00
2018-04-04 22:00:00	2018-04-05 05:20:00
2018-04-05 07:00:00	2018-04-05 07:40:00
2018-04-05 08:30:00	2018-04-05 15:20:00
2018-04-05 18:10:00	2018-04-05 19:20:00
2018-04-05 21:50:00	2018-04-06 03:50:00
2018-04-08 07:30:00	2018-04-08 08:10:00
2018-05-17 07:20:00	2018-05-17 08:20:00
2018-05-22 06:50:00	2018-05-22 07:10:00
2018-05-24 04:30:00	2018-05-24 05:00:00
2018-05-24 07:10:00	2018-05-24 07:20:00
2018-05-24 18:40:00	2018-05-24 19:20:00
2018-05-25 04:00:00	2018-05-25 04:00:00
2018-05-25 06:20:00	2018-05-25 07:50:00
2018-06-10 06:50:00	2018-06-10 08:30:00
2018-06-12 05:10:00	2018-06-12 06:00:00
2018-06-13 05:10:00	2018-06-13 06:10:00
2018-06-14 05:00:00	2018-06-14 06:20:00
2018-06-15 04:40:00	2018-06-15 06:00:00
2018-06-16 05:20:00	2018-06-16 07:10:00
2018-06-21 05:10:00	2018-06-21 06:50:00
2018-07-04 03:40:00	2018-07-04 05:00:00
2018-07-04 06:50:00	2018-07-04 07:50:00
2018-07-05 04:10:00	2018-07-05 08:10:00
2018-07-07 03:50:00	2018-07-07 04:50:00
2018-07-07 06:30:00	2018-07-07 08:40:00
2018-07-08 03:50:00	2018-07-08 04:30:00
2018-07-08 06:20:00	2018-07-08 08:30:00
2018-07-09 05:30:00	2018-07-09 07:20:00
2018-07-10 03:20:00	2018-07-10 04:40:00
2018-07-10 06:20:00	2018-07-10 08:00:00
2018-10-07 23:40:00	2018-10-08 03:10:00
2018-11-05 02:40:00	2018-11-05 03:20:00
2018-11-09 00:20:00	2018-11-09 03:30:00
2018-11-10 11:10:00	2018-11-10 17:40:00
2018-11-10 21:40:00	2018-11-11 02:00:00
2018-11-11 03:00:00	2018-11-12 08:20:00
2018-11-26 00:50:00	2018-11-26 01:40:00
2019-05-06 04:10:00	2019-05-06 04:50:00
2019-05-17 11:10:00	2019-05-17 11:50:00
2019-06-26 04:40:00	2019-06-26 10:30:00
2019-06-29 23:40:00	2019-06-30 05:20:00
2019-07-07 01:30:00	2019-07-08 02:00:00
2019-07-09 01:30:00	2019-07-10 02:00:00
2019-07-12 01:30:00	2019-07-14 02:00:00
2019-07-14 11:50:00	2019-07-14 17:20:00
2019-07-15 01:30:00	2019-07-16 02:00:00
2019-07-16 09:40:00	2019-07-16 11:00:00
2019-07-16 11:30:00	2019-07-16 14:20:00
2019-07-17 01:30:00	2019-08-01 12:10:00
2019-08-12 08:10:00	2019-08-12 09:30:00
2019-08-24 11:40:00	2019-08-24 12:20:00
2019-09-03 15:20:00	2019-09-03 17:30:00
2019-09-17 09:20:00	2019-09-17 10:20:00
2019-09-29 08:50:00	2019-09-29 09:40:00
2019-10-06 09:40:00	2019-10-06 10:20:00
2019-10-20 08:40:00	2019-10-20 09:20:00
2019-10-26 09:00:00	2019-10-26 09:40:00
2019-10-27 21:50:00	2019-10-28 08:30:00
2019-10-30 16:20:00	2019-10-30 19:20:00
2019-11-17 10:40:00	2019-11-17 11:20:00
2019-12-20 13:40:00	2019-12-20 15:00:00
2019-12-28 11:20:00	2019-12-28 12:00:00
